energy,photon_flux
173.877,0.0165074
174.228,0.0150914
174.580,0.0258198
174.931,0.0239969
175.283,0.0257685
175.634,0.0200195
175.986,0.0245775
176.337,0.0125116
176.689,0.0160788
177.040,0.0514520
177.392,0.0150679
177.743,0.0220769
178.095,0.0708380
178.446,0.0634017
178.798,0.0280177
179.149,0.0224201
179.501,0.0171108
179.852,0.0151213
180.204,0.00925414
180.555,0.0234432
180.907,0.0242707
181.258,0.0322856
181.610,0.0304176
181.961,0.0305150
182.313,0.0146459
182.664,0.0173437
183.016,0.0225525
183.367,0.0167868
183.719,0.00957397
184.070,0.0211933
184.422,0.0292666
184.773,0.0133044
185.125,0.00730000
185.476,0.0291853
185.828,0.0627316
186.179,0.0138088
186.531,0.0201012
186.882,0.0193562
187.234,0.0298313
187.585,0.0967609
187.937,0.0378699
188.288,0.114901
188.640,0.186580
188.991,0.00805627
189.343,0.0180893
189.694,0.0218237
190.046,0.0322814
190.397,0.0282883
190.749,0.0121699
191.100,0.00409134
191.452,0.0203630
191.803,0.0143816
192.155,0.0208157
192.506,0.0103810
192.858,0.0163461
193.209,0.0183248
193.561,0.0350822
193.912,0.0207544
194.264,0.00956103
194.615,0.0265635
194.966,0.0415488
195.318,0.0227072
195.669,0.0590022
196.021,0.0172783
196.372,0.0726562
196.724,0.0270539
197.075,0.0296115
197.427,0.0166764
197.778,0.0627911
198.130,0.0292704
198.481,0.0279273
198.833,0.0195454
199.184,0.0230773
199.536,0.0166157
199.887,0.0295472
200.239,0.0274914
200.590,0.0768599
200.942,0.0105211
201.293,0.0340110
201.645,0.0107483
201.996,0.00681278
202.348,0.0724220
202.699,0.0299790
203.051,0.0259958
203.402,0.00869695
203.754,0.0302802
204.105,0.0258667
204.457,0.0218713
204.808,0.0178341
205.160,0.00680872
205.511,0.0240197
205.863,0.0111228
206.214,0.0172865
206.566,0.0110887
206.917,0.173637
207.269,0.0179906
207.620,0.0327896
207.972,0.0244154
208.323,0.0817622
208.675,0.0135358
209.026,0.0157786
209.378,0.0177891
209.729,0.0782764
210.081,0.0357409
210.432,0.0183902
210.784,0.0135529
211.135,0.0112544
211.487,0.0158717
211.838,0.0179809
212.190,0.0252969
212.541,0.0337186
212.893,0.0244632
213.244,0.00918810
213.596,0.0207169
213.947,0.0275206
214.299,0.0183452
214.650,0.0320866
